canonical_model_id,may_participate_in_return_alpha_beta_sharpe_ir_comparison,reason
v5j_statement_visible_date_factor_panel,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_technical_existing_model_validation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_v4_bank_indicator_pit_reuse_gate,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_v5e_profit_lock_sell_timing_proxy,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5k_active_model_registry,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5k_experiment_catalog,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5k_historical_platform_contract_archive,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5k_reproducibility_provenance,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5k_strategy_development_workflow_audit,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5k_workflow_activation_repair,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5l_cash_constrained_nav_validation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5l_primary_candidate_risk_observation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5l_qmt_execution_evidence_and_forward_readiness,False,execution_or_engineering_without_strategy_nav
v5m_forward_paper_cycle_readiness,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5m_p0_closure,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5m_qmt_historical_contract_recovery,False,execution_or_engineering_without_strategy_nav
v5m_strict_cash_state_nav_repair,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5m_workflow_test_isolation_repair,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
